"country","sftgcode","forecast.year","mean.p","rf.p","threat.p","harff.p","year","imr.normed.ln","mev.regac.ln","postcw","cou.tries5d","pol.cat.fl2","pol.cat.fl3","pol.cat.fl7","pol.durable.ln","gdppcgrow.sr","mev.civtot.ln","ios.iccpr1","wdi.popsize.ln","coup.p","cwar.p","reg.eap","reg.eur","reg.mna","reg.sca","reg.amr","pol.cat.pitf2","pol.cat.pitf3","pol.cat.pitf4","pol.cat.pitf5","pol.cat.pitf6","dis.l4pop.ln","pitf.p","mkl.ever","pit.sftpuhvl2.10.ln","pol.autoc","elc.eliti","elc.elethc","wdi.trade.ln","reg.afr","mkl.ongoing","countryage.ln","pol.cat.fl1","elf.ethnicc1","elf.ethnicc2","elf.ethnicc3","elf.ethnicc9","elc.eleth1","elc.eleth2","date"
"Indonesia","INS",2015,0.00762265312234825,0.005,0.0066298752437509,0.0112380841232938,2014,0.248960852181157,2.30258509299405,1,0,0,1,0,2.77258872223978,2.24157644469049,0,0,12.4286785763524,0.0179240015687111,0.0230839671240063,1,0,0,0,0,0,0,1,0,0,0.336472236621213,0.0434474817914686,1,1.09861228866811,0,0,0,3.90160808078218,0,0,4.18965474202643,0,0,0,1,0,0,0,2015-05-27
"Philippines","PHI",2015,0.00747081105214717,0.003,0.00308574522425109,0.0163266879321904,2014,-0.106125529094889,1.94591014905531,1,0,0,1,0,3.3322045101752,2.46898299449359,1.38629436111989,1,11.4967307760298,0.0122739634905655,0.0128867566686124,1,0,0,0,0,0,0,1,0,0,0,0.0314208286040615,1,3.04452243772342,0,0,1,4.0924637307889,0,0,4.76217393479776,0,1,0,0,0,1,0,2015-05-27
"Zambia","ZAM",2015,0.00746562610211046,0.002,0.00562439460881163,0.0147724836975197,2014,1.22271025310909,1.94591014905531,1,0,0,1,0,2.63905732961526,2.32774418494795,0,1,9.58456521163718,0.0322657446908675,0.0127727315086139,0,0,0,0,0,0,0,1,0,0,0,0.0506306944586827,0,0,0,0,1,4.40184158097,1,0,3.93182563272433,0,0,0,1,0,1,0,2015-05-27
"Burundi","BUI",2015,0.00746113422523753,0.003,0.00721608619078928,0.0121673164849233,2014,1.17379999766996,3.13549421592915,1,0,0,1,0,2.30258509299405,2.17637390770969,0,0,9.2264629026826,0.0331146781708699,0.0165368978286574,0,0,0,0,0,0,0,1,0,0,0,0.0439243336890222,1,0.693147180559945,0,0,0,3.72908942685166,1,0,3.97029191355212,0,0,1,0,0,0,0,2015-05-27
"Kazakhstan","KZK",2015,0.00708887667175708,0.007,0.00495997963854333,0.0093066503767279,2014,0.0968615908345577,3.09104245335832,1,0,0,0,0,3.17805383034795,2.07364373965477,0,1,9.74304147319928,0.0106395540109326,0.0240661344613665,0,0,0,1,0,0,0,0,0,0,3.2188758248682,0.0218928346255735,0,0,1,0,1,4.17354908579967,0,0,3.17805383034795,1,0,1,0,0,1,0,2015-05-27
"Gabon","GAB",2015,0.00691475860875362,0,0.00908010944342626,0.0116641663828346,2014,0.874491116304796,2.70805020110221,1,0,1,0,0,1.79175946922805,2.254928176447,0,0,7.42160293181495,0.0439574176151413,0.0175240443620102,0,0,0,0,0,0,1,0,0,0,0,0.0943557186333944,0,0,0,0,0,4.53856826115361,1,0,4.00733318523247,0,0,0,1,0,0,0,2015-05-27
"Tunisia","TUN",2015,0.00677969697360193,0.011,0.00319559398405691,0.00614349693674887,2014,0.167426571642815,2.77258872223978,1,0,0,1,0,0,1.51689366993553,0,1,9.29527876849237,0.0222808111493699,0.00884241939150426,0,0,1,0,0,0,0,1,0,0,0,0.0399642152332521,0,0,0,0,0,4.63617991282819,0,0,4.07753744390572,0,1,0,0,0,0,0,2015-05-27
"Malaysia","MAL",2015,0.00660856526889856,0.001,0.00638625580537302,0.0124394400013227,2014,-0.359628940407616,2.30258509299405,1,0,1,0,0,1.94591014905531,2.45384559520528,0,0,10.2994733738325,0.0186125361398072,0.0215711698277312,1,0,0,0,0,0,1,0,0,0,0,0.0663320695843403,0,0,0,0,1,5.03749088656524,0,0,4.06044301054642,0,0,1,0,0,1,0,2015-05-27
"Mozambique","MZM",2015,0.006584037174121,0.002,0.00775902412013714,0.00999308740222587,2014,1.30618792468239,1.94591014905531,1,0,0,1,0,3.04452243772342,2.71528617386404,0,0,10.1594371329936,0.0380905363458218,0.0162587145816292,0,0,0,0,0,0,0,1,0,0,0,0.0539923355635371,1,0,0,0,0,4.25598094305584,1,0,3.68887945411394,0,0,0,1,0,0,0,2015-05-27
"Bolivia","BOL",2015,0.00656783836089337,0,0.00259767099706342,0.0171058440856167,2014,0.677216730620236,1.6094379124341,1,0,0,1,0,3.49650756146648,2.32359321509267,0,1,9.27530380282683,0.0196157233565701,0.00768566460149243,0,0,0,0,1,0,1,0,0,0,0,0.0627315345688929,0,0,0,0,1,4.39919527563409,0,0,5.24702407216049,0,0,0,1,0,1,0,2015-05-27
