"sftgcode","year","cmm.succ","cmm.fail","cmm.plot","cmm.rumr"
"GFR",1978,0,0,0,0
"GFR",1979,0,0,0,0
"GFR",1980,0,0,0,0
"GFR",1981,0,0,0,0
"GFR",1982,0,0,0,0
"GFR",1983,0,0,0,0
"GFR",1984,0,0,0,0
"GFR",1985,0,0,0,0
"GFR",1986,0,0,0,0
"GFR",1987,0,0,0,0
"GFR",1988,0,0,0,0
"GFR",1989,0,0,0,0
"GHA",1957,0,0,0,0
"GHA",1958,0,0,0,0
"GHA",1959,0,0,0,0
"GHA",1960,0,0,0,0
"GHA",1961,0,0,0,1
"GHA",1962,0,1,0,0
"GHA",1963,0,0,0,0
"GHA",1964,0,0,0,0
"GHA",1965,0,0,0,0
"GHA",1966,1,0,0,0
"GHA",1967,0,1,1,0
"GHA",1968,0,0,0,0
"GHA",1969,0,0,0,0
"GHA",1970,0,0,0,0
"GHA",1971,0,0,0,0
"GHA",1972,1,0,0,0
"GHA",1973,0,0,0,0
"GHA",1974,0,0,0,0
"GHA",1975,0,0,0,0
"GHA",1976,0,0,0,0
"GHA",1977,0,1,0,0
"GHA",1978,1,0,0,0
"GHA",1979,1,1,0,0
"GHA",1980,0,0,0,0
"GHA",1981,1,0,0,0
"GHA",1982,0,1,0,0
"GHA",1983,0,1,0,0
"GHA",1984,0,0,0,1
"GHA",1985,0,0,0,0
"GHA",1986,0,0,0,0
"GHA",1987,0,0,0,0
"GHA",1988,0,0,0,0
"GHA",1989,0,0,0,0
"GHA",1990,0,0,0,0
"GHA",1991,0,0,0,0
"GHA",1992,0,0,0,0
"GHA",1993,0,0,0,0
"GHA",1994,0,0,0,0
"GHA",1995,0,0,0,0
"GHA",1996,0,0,0,0
"GHA",1997,0,0,0,0
"GHA",1998,0,0,0,0
"GHA",1999,0,0,0,0
"GHA",2000,0,0,0,0
"GHA",2001,0,0,0,0
"GHA",2002,0,0,0,0
